date,acres,county,cause,lat,lon,binlat,binlon
Aug,0.01,PACIFIC,Recreation,46.473463,-123.941779,3,2
Oct,0.1,SPOKANE,Recreation,47.837034,-117.078338,2,8
Aug,40.0,SPOKANE,Recreation,47.837034,-117.078338,2,8
Oct,0.5,SKAMANIA,Arson,45.730654,-122.055597,4,3
Aug,183.0,KING,Logging,47.204144,-121.754744,2,4
Oct,5.0,PEND OREILLE,Debris Burn,48.111308,-117.295064,1,8
Sep,0.1,PEND OREILLE,Debris Burn,48.111308,-117.295064,1,8
Aug,0.1,PEND OREILLE,Lightning,48.111308,-117.295064,1,8
Oct,1.5,KLICKITAT,Recreation,45.904957,-120.916389,4,5
Apr,2.0,KLICKITAT,Debris Burn,45.904957,-120.916389,4,5
Jul,0.1,THURSTON,Miscellaneou,47.037886,-122.841717,2,3
Aug,0.1,CLARK,Debris Burn,45.663225,-122.293377,4,3
Jul,0.1,KLICKITAT,Miscellaneou,45.81278,-121.152305,4,4
Aug,0.2,YAKIMA,Miscellaneou,46.529299,-120.995236,3,5
Aug,2.0,OKANOGAN,Lightning,48.748702,-119.28655,1,6
Oct,0.1,THURSTON,Debris Burn,46.961678,-122.651423,3,3
Aug,0.01,STEVENS,Miscellaneou,48.054917,-117.51254,1,8
Aug,0.0,PIERCE,Miscellaneou,47.206239,-122.367622,2,3
Jun,0.0,FERRY,Lightning,48.61873,-118.184383,1,7
Aug,0.2,THURSTON,Logging,46.801533,-122.87401,3,3
May,3.0,SPOKANE,Debris Burn,47.923574,-117.355627,2,8
Jun,1.5,SPOKANE,Debris Burn,47.923574,-117.355627,2,8
Nov,0.1,SKAGIT,Lightning,48.396847,-122.535637,1,3
Jun,0.1,GRAYS HARBOR,Recreation,47.060943,-123.645767,2,2
Aug,1.0,OKANOGAN,Recreation,48.501427,-119.362599,1,6
Aug,0.2,STEVENS,Lightning,48.335552,-117.876911,1,8
Jul,0.1,OKANOGAN,Lightning,48.619179,-119.46427,1,6
Aug,0.2,STEVENS,Recreation,48.273631,-117.94285,1,8
Jun,0.1,COWLITZ,Debris Burn,46.206603,-123.04064,3,2
Sep,1.5,COWLITZ,Miscellaneou,46.206603,-123.04064,3,2
Jan,2.0,CLARK,Debris Burn,45.792639,-122.339846,4,3
May,0.0,THURSTON,Children,47.008594,-122.714659,2,3
Jul,0.0,FERRY,None,48.975905,-118.175789,1,7
May,8.0,MASON,Debris Burn,47.314532,-123.214882,2,2
Jun,2.0,SPOKANE,Debris Burn,47.750963,-117.336232,2,8
Sep,0.0,SPOKANE,Smoker,47.750963,-117.336232,2,8
Sep,0.1,KING,Recreation,47.134462,-121.60485,2,4
Aug,0.2,KING,Arson,47.134462,-121.60485,2,4
Nov,12.0,LEWIS,Debris Burn,46.522619,-123.26985,3,2
Aug,0.1,FERRY,Lightning,48.830002,-118.694383,1,7
Aug,0.1,PIERCE,Debris Burn,47.396217,-122.76911,2,3
Aug,0.2,PIERCE,Arson,47.396217,-122.76911,2,3
Aug,0.0,YAKIMA,Lightning,46.539396,-121.135956,3,4
Jul,4.0,YAKIMA,Lightning,46.539396,-121.135956,3,4
Aug,0.25,CLALLAM,Smoker,48.22637,-124.276186,1,1
Oct,3.0,LEWIS,Debris Burn,46.525812,-122.013788,3,3
Apr,0.0,LEWIS,Children,46.525812,-122.013788,3,3
Jan,6.0,LEWIS,Debris Burn,46.525812,-122.013788,3,3
Oct,0.2,COWLITZ,Debris Burn,46.20855,-122.85276,3,3
Aug,0.3,OKANOGAN,Lightning,48.833916,-119.722134,1,6
Jul,0.5,GRAYS HARBOR,Miscellaneou,47.042867,-123.26324,2,2
Jul,3.0,MASON,Miscellaneou,47.309012,-123.047178,2,2
Sep,0.0,KITSAP,Miscellaneou,47.425367,-122.539288,2,3
Feb,0.0,KITSAP,Recreation,47.425367,-122.539288,2,3
Aug,0.1,JEFFERSON,Arson,47.831507,-122.875407,2,3
Aug,0.0,JEFFERSON,Children,47.831507,-122.875407,2,3
Jul,2.0,PIERCE,Debris Burn,47.018266,-122.023978,2,3
Nov,0.5,YAKIMA,Smoker,46.802455,-120.843406,3,5
Aug,1.0,LEWIS,Debris Burn,46.443614,-122.946719,3,3
Sep,0.0,SKAMANIA,Recreation,45.719471,-121.579499,4,4
Sep,0.0,SKAMANIA,Railroad,45.719471,-121.579499,4,4
Jun,0.0,SKAMANIA,Railroad,45.719471,-121.579499,4,4
Jul,0.0,SKAMANIA,Recreation,45.719471,-121.579499,4,4
Jul,35.0,SKAMANIA,Railroad,45.719471,-121.579499,4,4
Apr,0.1,SPOKANE,Arson,47.951327,-117.23117,2,8
Sep,0.01,STEVENS,Debris Burn,48.730935,-118.065656,1,7
Jul,0.1,CLARK,Debris Burn,45.926142,-122.590097,4,3
Jul,0.1,STEVENS,Lightning,48.93048,-117.680683,1,8
Jul,0.0,SPOKANE,Miscellaneou,47.956121,-117.388329,2,8
Jun,0.3,KITTITAS,Recreation,47.15161,-120.908169,2,5
Aug,0.1,COWLITZ,Lightning,46.148334,-122.380219,3,3
Apr,2.0,PEND OREILLE,Debris Burn,48.082225,-117.12179,1,8
Jun,0.1,SPOKANE,Lightning,47.793933,-117.790587,2,8
Jun,0.1,LEWIS,Debris Burn,46.697709,-122.584149,3,3
Jul,0.25,STEVENS,Lightning,48.402095,-117.533127,1,8
Jul,0.4,THURSTON,Children,46.817055,-123.010038,3,2
Apr,0.5,SKAMANIA,Debris Burn,45.724347,-121.807424,4,4
